iter	Passed	Remaining
0	1	122
1	3	163
2	4	145
3	5	126
4	6	124
5	8	126
6	9	126
7	11	127
8	12	127
9	13	121
10	14	119
11	16	120
12	18	121
13	19	119
14	21	120
15	22	116
16	23	115
17	24	112
18	26	110
19	27	109
20	28	107
21	30	106
22	31	105
23	33	104
24	34	103
25	35	100
26	36	98
27	37	95
28	38	94
29	39	92
30	40	91
31	41	88
32	42	86
33	43	84
34	44	82
35	45	80
36	46	78
37	47	77
38	48	76
39	49	74
40	50	72
41	51	70
42	51	68
43	52	67
44	53	65
45	54	63
46	55	62
47	55	60
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	65	43
60	66	42
61	67	41
62	67	39
63	68	38
64	69	37
65	69	36
66	70	34
67	71	33
68	71	32
69	72	31
70	73	29
71	73	28
72	74	27
73	75	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	92	1
98	93	0
99	93	0
